Sl NO TIMESTAMP                   PROTOCOL        MESSAGE                              DETAILS                                                                                                                                                             
-     2019-08-15 18:32:50.299000  -               -                                    Release: Auto-Certification Platform3.6.30                                                                                                                          
-     2019-08-15 18:32:50.303000  -               -                                    Starting testcase 2.1                                                                                                                                               
-     2019-08-15 18:32:50.318000  -               -                                    Starting test engine. It takes upto a minute ..                                                                                                                     
-     2019-08-15 18:32:50.318000  -               -                                    DRB_codec version: none                                                                                                                                             
-     2019-08-15 18:32:50.318000  -               -                                    NAS_codec version: none                                                                                                                                             
-     2019-08-15 18:32:50.318000  -               -                                    SIP_codec version: none                                                                                                                                             
-     2019-08-15 18:32:50.318000  -               -                                    TE:  6.13.1.6; default TTCN-3 version: TTCN-3:2018; build: 34353; license type: runtime; runtime: 64bit .NET 4.0.30319.42000                                        
-     2019-08-15 18:33:32.830000  -               -                                    Starting System Adapter ..                                                                                                                                          
-     2019-08-15 18:33:38.256000  -               -                                    Test case started in Test engine                                                                                                                                    
-     2019-08-15 18:33:39.780000  -               -                                    Testcase started in Test engine                                                                                                                                     
1     2019-08-15 18:33:40.057963  -               -                                    ACP3.6_TE_v11                                                                                                                                                       
2     2019-08-15 18:33:40.057963  -               -                                    Release Date - 01 Aug 2019                                                                                                                                          
3     2019-08-15 18:33:40.155704  -               -                                    Mapped AT command for Power OFF is at+cfun=4                                                                                                                        
4     2019-08-15 18:33:40.156700  -               -                                    Perform MMI POWER OFF on DUT                                                                                                                                        
5     2019-08-15 18:33:42.202605  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1 Guard Timer value is 360 seconds                                                                                                         
6     2019-08-15 18:33:42.204601  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: RRCCONNECTIONREJECT MESSAGE INITIAL ATTACH                                                                                              
7     2019-08-15 18:33:42.205604  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step1: Configuring the test equipment to respond to all RRC Conn Req msgs with an RRC Conn Reject msg with a waitTime of 10 sec         
8     2019-08-15 18:33:42.353205  -               -                                    Activating Default handler                                                                                                                                          
9     2019-08-15 18:33:42.677343  [RRC]BCCH-BCH   masterInformationBlock               BCCH-BCH,-                                                                                                                                                          
10    2019-08-15 18:33:42.677343  [RRC]BCCH-DLSCH systemInformationBlockType1          BCCH-DLSCH,-                                                                                                                                                        
11    2019-08-15 18:33:42.677343  [RRC]BCCH-DLSCH systemInformation                    BCCH-DLSCH,-                                                                                                                                                        
12    2019-08-15 18:33:42.677343  [RRC]BCCH-DLSCH systemInformation                    BCCH-DLSCH,-                                                                                                                                                        
13    2019-08-15 18:33:42.677343  [RRC]BCCH-DLSCH systemInformationBlockType1          BCCH-DLSCH,-                                                                                                                                                        
14    2019-08-15 18:33:42.677343  [RRC]BCCH-DLSCH systemInformation                    BCCH-DLSCH,-                                                                                                                                                        
15    2019-08-15 18:33:42.677343  [RRC]BCCH-DLSCH systemInformation                    BCCH-DLSCH,-                                                                                                                                                        
16    2019-08-15 18:33:42.994743  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Module: VZW_LTE_IMSLESS_DATA_RETRY_TESTCASES, Default Handler for Multi-PDN IMS and Internet is Disabled                                
17    2019-08-15 18:33:47.254673  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step1: Cell Configuration Successful                                                                                                    
18    2019-08-15 18:33:47.255671  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step2: Configured DUT to connect to the Internet PDN as soon as it finds service on the LTE Network                                     
19    2019-08-15 18:33:47.256668  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step3: Powering ON the DUT and allowing it to find LTE service                                                                          
27    2019-08-15 18:33:47.521961  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step4a: Verifying that the DUT attempts to attach to LTE network by sending an RRC Conn Req Msg                                         
28    2019-08-15 18:33:47.551882  -               -                                    Mapped AT command forPOWER_CYCLE is AT+CFUN=1,1                                                                                                                     
29    2019-08-15 18:33:47.552879  -               -                                    Performing POWER_CYCLE action on DUT                                                                                                                                
30    2019-08-15 18:33:55.236246  [RRC]UL-CCCH    rrcConnectionRequest                 UL-CCCH,-                                                                                                                                                           
31    2019-08-15 18:33:55.248204  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step4a: Received first RRCCOnnectionRequest from the DUT                                                                                
32    2019-08-15 18:33:55.249206  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step4b: Sent RRC Conn Reject with a waitTime of 10 seconds                                                                              
33    2019-08-15 18:33:55.250198  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Started a timer for 10 seconds                                                                                                          
34    2019-08-15 18:33:55.250198  [RRC]DL-CCCH    rrcConnectionReject                  DL-CCCH,-                                                                                                                                                           
35    2019-08-15 18:33:55.251194  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Releasing SRBs and DRBs                                                                                                                 
36    2019-08-15 18:33:55.472604  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: ReConfiguring SRBs and DRBs                                                                                                             
37    2019-08-15 18:33:55.511501  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step5a: Monitoring the DUT for 10 seconds. DUT should not attempt to attach to the LTE Network                                          
38    2019-08-15 18:34:05.250290  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step5a: Verified that the DUT does not attempt to attach to the LTE Network for 10 seconds                                              
